Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 370,BARBOUR 370 374,BARBOUR 370 374-1,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BARBOUR HALL,BARBOUR FL 3 APT,BARBOUR 370,BARBOUR 370 374,BARBOUR 370 374-2,Double (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 205,BUXTON 205,BUXTON 205-1,Single,,CoEd,24-25 Fall Senior Selection
Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
BUXTON HOUSE,BUXTON FL 2,BUXTON 207,BUXTON 207,BUXTON 207-1,Single,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 208,BUXTON 208,BUXTON 208-1,Single,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 305,BUXTON 305,BUXTON 305-1,Single,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 307,BUXTON 307,BUXTON 307-1,Single,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 308,BUXTON 308,BUXTON 308-1,Single,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 310,BUXTON 310,BUXTON 310-1,Single,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 312,BUXTON 312,BUXTON 312-1,Single,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 314,BUXTON 314,BUXTON 314-1,Double,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 314,BUXTON 314,BUXTON 314-2,Double,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 4,BUXTON 414,BUXTON 414,BUXTON 414-1,Double,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 4,BUXTON 414,BUXTON 414,BUXTON 414-2,Double,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 4,BUXTON 418,BUXTON 418,BUXTON 418-1,Double,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 4,BUXTON 418,BUXTON 418,BUXTON 418-2,Double,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 4,BUXTON 420,BUXTON 420,BUXTON 420-1,Double,,CoEd,24-25 Fall Senior Selection
BUXTON HOUSE,BUXTON FL 4,BUXTON 420,BUXTON 420,BUXTON 420-2,Double,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 2,CHAPIN 213,CHAPIN 213,CHAPIN 213-1,Double,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 2,CHAPIN 213,CHAPIN 213,CHAPIN 213-2,Double,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 2,CHAPIN 217,CHAPIN 217,CHAPIN 217-1,Double,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 2,CHAPIN 217,CHAPIN 217,CHAPIN 217-2,Double,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 2,CHAPIN 219,CHAPIN 219,CHAPIN 219-1,Single,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 2,CHAPIN 220,CHAPIN 220,CHAPIN 220-1,Single,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 307,CHAPIN 307,CHAPIN 307-1,Double,,CoEd,24-25 Fall Senior Selection
